                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6963,                 9.2796,                0.94952,                 0.0011,                0.47201,                0.06895,                0.04588,                 1.3666,                  5.284,                0.86823,             0.00032946,             0.00032946,             0.00032946
                      2,                 1.3868,                 6.7986,                0.87126,                0.43105,                0.16795,                0.12606,                0.07415,                 1.3502,                 4.7668,                0.91012,             0.00065459,             0.00065459,             0.00065459
                      3,                 1.3931,                 5.8218,                0.89489,                0.26488,                0.14915,                0.13375,                0.08939,                 1.2741,                 4.2403,                0.85121,             0.00097147,             0.00097147,             0.00097147
                      4,                  1.262,                 6.0919,                0.83765,                0.13499,                0.21147,                0.17469,                0.11716,                 1.1944,                 3.5279,                0.86297,             0.00096288,             0.00096288,             0.00096288
                      5,                 1.4528,                 5.1452,                0.90301,                 0.1395,                  0.364,                0.15903,                0.10636,                 1.1452,                 3.2978,                0.87288,             0.00096288,             0.00096288,             0.00096288
                      6,                 1.3371,                 5.2231,                 0.8755,                0.29632,                0.41641,                0.17228,                0.11418,                 1.2143,                 2.8399,                0.90435,              0.0009505,              0.0009505,              0.0009505
                      7,                 1.2766,                 4.7199,                0.87457,                0.30133,                0.42314,                0.18358,                0.12572,                 1.1139,                 2.6448,                0.89322,             0.00093813,             0.00093813,             0.00093813
                      8,                 1.2328,                 4.2012,                 0.8849,                0.47779,                0.28477,                0.19776,                0.13075,                   1.02,                  2.461,                0.87857,             0.00092575,             0.00092575,             0.00092575
                      9,                 1.2213,                 3.7283,                 0.8557,                 0.2754,                0.52835,                0.19445,                0.13109,                 1.1051,                 2.4415,                0.89324,             0.00091337,             0.00091337,             0.00091337
                     10,                 1.3452,                 4.1682,                0.89232,                0.16393,                0.58283,                0.21526,                0.15087,                0.99779,                 2.4131,                0.87567,               0.000901,               0.000901,               0.000901
                     11,                  1.184,                 3.4838,                0.87483,                0.21522,                 0.6183,                0.23357,                0.16953,                 1.0167,                 2.2839,                0.88345,             0.00088862,             0.00088862,             0.00088862
                     12,                 1.1318,                 3.4711,                0.83362,                0.21679,                0.71939,                0.24333,                0.16203,                 1.1198,                  2.318,                0.88309,             0.00087625,             0.00087625,             0.00087625
                     13,                 1.2003,                 2.9793,                0.87745,                0.30162,                0.35456,                0.26754,                0.19059,                 1.0839,                 2.4074,                0.89728,             0.00086388,             0.00086388,             0.00086388
